id,person,date,salary,raise_type
1582,318,01/12/2018,"R$ 2.204,08",raise
794,140,01/12/2018,"R$ 1.892,93",raise
531,101,01/12/2018,"R$ 1.828,91",raise
614,115,01/12/2018,"R$ 1.646,02",raise
1527,307,28/11/2018,"R$ 1.929,66",initial
603,114,22/11/2018,"R$ 2.098,72",raise
1365,265,01/11/2018,"R$ 6.829,33",raise
1407,273,01/11/2018,"R$ 4.456,33",raise
1465,290,01/11/2018,"R$ 3.738,93",raise
745,131,01/11/2018,"R$ 2.098,72",raise
1345,263,01/11/2018,"R$ 1.661,75",raise
663,118,01/10/2018,"R$ 4.391,83",raise
513,97,01/10/2018,"R$ 4.099,82",raise
1591,321,11/09/2018,"R$ 2.559,58",raise
1266,245,11/09/2018,"R$ 1.588,20",raise
1590,321,10/09/2018,"R$ 2.254,67",initial
1265,245,10/09/2018,"R$ 1.544,33",initial
786,138,01/09/2018,"R$ 5.410,34",raise
1242,240,01/09/2018,"R$ 5.000,10",raise
1344,263,01/09/2018,"R$ 3.323,50",raise
1612,329,01/09/2018,"R$ 3.211,11",raise
689,121,01/09/2018,"R$ 2.649,16",raise
1497,296,01/09/2018,"R$ 2.473,02",raise
557,107,02/08/2018,"R$ 1.482,60",raise
1452,285,02/08/2018,"R$ 644,61",raise
642,117,01/08/2018,"R$ 3.439,82",raise
434,84,01/08/2018,"R$ 3.102,52",raise
715,123,01/08/2018,"R$ 3.102,52",raise
556,107,01/08/2018,"R$ 1.449,69",initial
1451,285,01/08/2018,"R$ 630,30",initial
472,91,01/07/2018,"R$ 4.391,83",raise
702,122,01/07/2018,"R$ 3.827,23",raise
420,81,01/07/2018,"R$ 3.323,50",raise
1569,315,01/07/2018,"R$ 2.991,15",raise
1349,264,01/07/2018,"R$ 2.098,72",raise
452,88,01/07/2018,"R$ 1.828,91",raise
1581,318,26/06/2018,"R$ 2.129,54",raise
1580,318,25/06/2018,"R$ 1.993,67",initial
530,101,20/06/2018,"R$ 1.643,78",raise
529,101,19/06/2018,"R$ 1.598,38",initial
793,140,05/06/2018,"R$ 1.482,60",raise
792,140,04/06/2018,"R$ 1.449,69",initial
575,108,01/06/2018,"R$ 5.543,70",raise
678,119,01/06/2018,"R$ 3.827,23",raise
589,111,01/06/2018,"R$ 2.389,39",raise
1336,262,01/06/2018,"R$ 2.150,45",raise
