id,person,start_date,end_date,name,level
1117,296,01/03/2018,01/09/2018,ASSISTENTE FISCAL II - NÍVEL 5,ASSISTENTE
979,244,26/02/2018,29/03/2018,ASSISTENTE JURÍDICO III - NÍVEL 5,ASSISTENTE
464,84,01/02/2018,01/08/2018,ASSISTENTE FISCAL III - NIVEL 4,ASSISTENTE
488,91,01/02/2018,01/07/2018,ANALISTA FISCAL PLENO - NIVEL 4,ANALISTA
593,117,01/02/2018,01/08/2018,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
607,118,01/02/2018,01/10/2018,ANALISTA FISCAL PLENO - NIVEL 4,ANALISTA
639,123,01/02/2018,01/08/2018,ASSISTENTE FISCAL III - NIVEL 4,ASSISTENTE
1072,276,01/02/2018,11/07/2018,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
455,81,19/01/2018,01/07/2018,ANALISTA FISCAL JUNIOR - NIVEL 2,ANALISTA
475,88,09/01/2018,01/07/2018,ASSISTENTE FISCAL I - NIVEL 5,ASSISTENTE
1028,264,09/01/2018,01/07/2018,ASSISTENTE FISCAL II - NÍVEL 2,ASSISTENTE
515,97,01/01/2018,01/04/2018,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
554,108,01/01/2018,01/06/2018,COORDENADOR DE RECURSOS HUMANOS JUNIOR - NIVEL 5,COORDENADOR
606,118,01/01/2018,01/02/2018,ANALISTA FISCAL PLENO - NIVEL 3,ANALISTA
616,119,01/01/2018,01/06/2018,ANALISTA FISCAL JUNIOR - NIVEL 5,ANALISTA
631,122,01/01/2018,01/07/2018,ANALISTA FISCAL JUNIOR - NIVEL 5,ANALISTA
965,240,01/01/2018,01/03/2018,ANALISTA FISCAL PLENO - NÍVEL 3,ANALISTA
1039,265,01/01/2018,02/05/2018,COORDENADOR FISCAL PLENO - NÍVEL 1,COORDENADOR
1163,315,01/01/2018,01/07/2018,ANALISTA ADMINISTRATIVO JÚNIOR - NÍVEL 3,ANALISTA
578,115,07/12/2017,01/06/2018,ASSISTENTE ADMINISTRATIVO I - NIVEL 1,ASSISTENTE
562,111,05/12/2017,01/06/2018,ASSISTENTE FISCAL III - NIVEL 1,ASSISTENTE
615,119,01/12/2017,01/01/2018,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
1021,262,01/12/2017,01/06/2018,ASSISTENTE ADMINISTRATIVO II - NÍVEL 4,ASSISTENTE
1090,284,28/11/2017,25/02/2018,ANALISTA FISCAL JÚNIOR - NÍVEL 4,ANALISTA
976,243,01/11/2017,02/05/2018,ASSISTENTE JURÍDICO III - NÍVEL 2,ASSISTENTE
1038,265,01/11/2017,01/01/2018,COORDENADOR FISCAL JÚNIOR - NÍVEL 4,COORDENADOR
1062,273,24/10/2017,01/04/2018,ANALISTA CONTÁBIL PLENO - NÍVEL 1,ANALISTA
514,97,01/10/2017,01/01/2018,ANALISTA FISCAL JUNIOR - NIVEL 4,ANALISTA
1116,296,24/09/2017,01/03/2018,ASSISTENTE FISCAL II - NÍVEL 3,ASSISTENTE
1003,256,18/09/2017,01/03/2018,ASSISTENTE FISCAL III - NÍVEL 4,ASSISTENTE
1025,263,17/09/2017,01/03/2018,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
964,240,05/09/2017,01/01/2018,ANALISTA FISCAL PLENO - NÍVEL 2,ANALISTA
1188,329,05/09/2017,01/09/2018,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
591,116,01/09/2017,,GERENTE FISCAL SENIOR - NIVEL 2,GERENTE
682,138,01/09/2017,01/03/2018,ANALISTA CONTABIL PLENO - NIVEL 4,ANALISTA
1145,308,01/09/2017,01/04/2018,ANALISTA CONTÁBIL PLENO - NÍVEL 3,ANALISTA
463,84,28/08/2017,01/02/2018,ASSISTENTE FISCAL III - NIVEL 2,ASSISTENTE
592,117,22/08/2017,01/02/2018,ANALISTA FISCAL JUNIOR - NIVEL 2,ANALISTA
605,118,11/08/2017,01/01/2018,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
638,123,06/08/2017,01/02/2018,ASSISTENTE FISCAL III - NIVEL 2,ASSISTENTE
1071,276,06/08/2017,01/02/2018,ASSISTENTE FISCAL III - NÍVEL 5,ASSISTENTE
1148,309,01/08/2017,21/12/2017,ASSISTENTE FISCAL I - NÍVEL 5,ASSISTENTE
487,91,20/07/2017,01/02/2018,ANALISTA FISCAL PLENO - NIVEL 2,ANALISTA
454,81,19/07/2017,19/01/2018,ASSISTENTE FISCAL III - NIVEL 5,ASSISTENTE
630,122,16/07/2017,01/01/2018,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
1162,315,01/07/2017,01/01/2018,ANALISTA ADMINISTRATIVO JÚNIOR - NÍVEL 2,ANALISTA
975,243,01/05/2017,01/11/2017,ASSISTENTE JURÍDICO II - NÍVEL 1,ASSISTENTE
992,249,01/04/2017,31/10/2017,ASSISTENTE FISCAL I - NÍVEL 5,ASSISTENTE
1115,296,27/03/2017,24/09/2017,ASSISTENTE FISCAL I - NÍVEL 1,ASSISTENTE
1002,256,21/03/2017,18/09/2017,ASSISTENTE FISCAL III - NÍVEL 3,ASSISTENTE
1024,263,20/03/2017,17/09/2017,ASSISTENTE FISCAL III - NÍVEL 5,ASSISTENTE
486,91,01/03/2017,20/07/2017,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
604,118,01/03/2017,11/08/2017,ANALISTA FISCAL JUNIOR - NIVEL 5,ANALISTA
1037,265,01/03/2017,01/11/2017,COORDENADOR FISCAL JÚNIOR - NÍVEL 3,COORDENADOR
1102,291,01/03/2017,17/10/2017,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 2,ANALISTA
1144,308,01/03/2017,01/09/2017,ANALISTA CONTÁBIL PLENO - NÍVEL 2,ANALISTA
1045,267,21/02/2017,01/01/2019,ANALISTA FISCAL SÊNIOR - NÍVEL 4,ANALISTA
637,123,06/02/2017,06/08/2017,ASSISTENTE FISCAL I - NIVEL 5,ASSISTENTE
1070,276,06/02/2017,06/08/2017,ASSISTENTE FISCAL III - NÍVEL 4,ASSISTENTE
1147,309,01/02/2017,01/08/2017,ASSISTENTE FISCAL I - NÍVEL 4,ASSISTENTE
629,122,10/01/2017,16/07/2017,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
453,81,01/01/2017,19/07/2017,ASSISTENTE FISCAL III - NIVEL 3,ASSISTENTE
991,249,01/01/2017,01/04/2017,ASSISTENTE FISCAL I - NÍVEL 4,ASSISTENTE
990,249,03/10/2016,01/01/2017,ASSISTENTE FISCAL I - NÍVEL 1,ASSISTENTE
1088,282,05/09/2016,03/02/2017,ADVOGADO JÚNIOR - NÍVEL 1,ADVOGADO
1020,262,21/06/2016,01/12/2017,ASSISTENTE ADMINISTRATIVO I - NÍVEL 2,ASSISTENTE
603,118,01/06/2016,01/03/2017,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
